weights_path exists: True, size: 248007048 bytes
cfg_path exists: True, size: 8342 bytes
coco_names_path exists: True, size: 624 bytes
Loaded 80 class names
Successfully retrieved stream URL: https://manifest.googlevideo.com/api/manifest/hls_...
[2024-10-01 10:42:24] Head Count: 55
[2024-10-01 10:42:26] Head Count: 55
[2024-10-01 10:42:28] Head Count: 56
[2024-10-01 10:42:30] Head Count: 58
[2024-10-01 10:42:32] Head Count: 57
[2024-10-01 10:42:34] Head Count: 55
[2024-10-01 10:42:36] Head Count: 64
[2024-10-01 10:42:38] Head Count: 63
[2024-10-01 10:42:40] Head Count: 59
weights_path exists: True, size: 248007048 bytes
cfg_path exists: True, size: 8342 bytes
coco_names_path exists: True, size: 624 bytes
Loaded 80 class names
Successfully retrieved stream URL: https://manifest.googlevideo.com/api/manifest/hls_...
[2024-10-01 10:43:04] Head Count: 67
[2024-10-01 10:43:05] Head Count: 67
[2024-10-01 10:43:05] Head Count: 69
[2024-10-01 10:43:06] Head Count: 66
[2024-10-01 10:43:06] Head Count: 67
[2024-10-01 10:43:07] Head Count: 64
[2024-10-01 10:43:07] Head Count: 65
[2024-10-01 10:43:08] Head Count: 65
[2024-10-01 10:43:08] Head Count: 62
[2024-10-01 10:43:09] Head Count: 63
[2024-10-01 10:43:10] Head Count: 64
[2024-10-01 10:43:10] Head Count: 58
[2024-10-01 10:43:11] Head Count: 57
[2024-10-01 10:43:11] Head Count: 59
[2024-10-01 10:43:12] Head Count: 61
[2024-10-01 10:43:12] Head Count: 61
[2024-10-01 10:43:13] Head Count: 69
[2024-10-01 10:43:13] Head Count: 67
[2024-10-01 10:43:14] Head Count: 68
[2024-10-01 10:43:14] Head Count: 63
[2024-10-01 10:43:15] Head Count: 59
[2024-10-01 10:43:15] Head Count: 59
[2024-10-01 10:43:16] Head Count: 71
[2024-10-01 10:43:16] Head Count: 69
[2024-10-01 10:43:17] Head Count: 68
[2024-10-01 10:43:17] Head Count: 64
[2024-10-01 10:43:18] Head Count: 65
[2024-10-01 10:43:18] Head Count: 64
[2024-10-01 10:43:18] Head Count: 53
[2024-10-01 10:43:19] Head Count: 57
[2024-10-01 10:43:19] Head Count: 56
[2024-10-01 10:43:20] Head Count: 58
[2024-10-01 10:43:20] Head Count: 59
[2024-10-01 10:43:21] Head Count: 60
[2024-10-01 10:43:21] Head Count: 60
[2024-10-01 10:43:22] Head Count: 56
[2024-10-01 10:43:23] Head Count: 56
[2024-10-01 10:43:23] Head Count: 54
[2024-10-01 10:43:24] Head Count: 59
[2024-10-01 10:43:24] Head Count: 59
[2024-10-01 10:43:25] Head Count: 60
[2024-10-01 10:43:25] Head Count: 56
[2024-10-01 10:43:26] Head Count: 55
[2024-10-01 10:43:27] Head Count: 55
[2024-10-01 10:43:27] Head Count: 54
[2024-10-01 10:43:28] Head Count: 55
[2024-10-01 10:43:28] Head Count: 57
[2024-10-01 10:43:29] Head Count: 56
[2024-10-01 10:43:29] Head Count: 56
[2024-10-01 10:43:30] Head Count: 57
[2024-10-01 10:43:30] Head Count: 57
[2024-10-01 10:43:31] Head Count: 56
[2024-10-01 10:43:31] Head Count: 60
[2024-10-01 10:43:32] Head Count: 53
[2024-10-01 10:43:32] Head Count: 55
[2024-10-01 10:43:33] Head Count: 53
[2024-10-01 10:43:33] Head Count: 59
[2024-10-01 10:43:34] Head Count: 57
[2024-10-01 10:43:34] Head Count: 56
[2024-10-01 10:43:35] Head Count: 60
[2024-10-01 10:43:35] Head Count: 60
[2024-10-01 10:43:36] Head Count: 58
[2024-10-01 10:43:36] Head Count: 54
[2024-10-01 10:43:37] Head Count: 55
[2024-10-01 10:43:37] Head Count: 63
[2024-10-01 10:43:38] Head Count: 55
[2024-10-01 10:43:38] Head Count: 54
[2024-10-01 10:43:39] Head Count: 56
[2024-10-01 10:43:39] Head Count: 58
[2024-10-01 10:43:40] Head Count: 58
[2024-10-01 10:43:40] Head Count: 53
[2024-10-01 10:43:41] Head Count: 54
[2024-10-01 10:43:41] Head Count: 54
[2024-10-01 10:43:42] Head Count: 61
[2024-10-01 10:43:42] Head Count: 65
[2024-10-01 10:43:43] Head Count: 64
[2024-10-01 10:43:44] Head Count: 60
[2024-10-01 10:43:44] Head Count: 64
[2024-10-01 10:43:45] Head Count: 64
[2024-10-01 10:43:45] Head Count: 58
